STATION,NAME,DATE,TAVG
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/16/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/17/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/18/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/19/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/20/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/21/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/22/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/23/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/24/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/25/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/26/2017,67
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/27/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/28/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/29/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/30/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/1/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/2/2017,66
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/3/2017,63
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/4/2017,64
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/5/2017,67
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/6/2017,67
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/7/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/8/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/9/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/10/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/11/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/12/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/13/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/14/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/15/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/16/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/17/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/18/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/19/2017,63
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/20/2017,67
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/21/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/22/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/23/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/24/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/25/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/26/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/27/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/28/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/29/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/30/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",7/31/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/1/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/2/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/3/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/4/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/5/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/6/2017,66
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/7/2017,67
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/8/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/9/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/10/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",8/11/2017,68
