"STATION","NAME","DATE","TMAX","TMIN"
"NOE00134634","LEINSTRAND, NO","2017-12-18",,
"NOE00134634","LEINSTRAND, NO","2017-12-19",,
"NOE00134634","LEINSTRAND, NO","2017-12-20",,
"NOE00134634","LEINSTRAND, NO","2017-12-21",,
"NOE00134634","LEINSTRAND, NO","2017-12-22",,
"NOE00134634","LEINSTRAND, NO","2017-12-23",,
"NOE00134634","LEINSTRAND, NO","2017-12-24",,
"NOE00134634","LEINSTRAND, NO","2017-12-25",,
"NOE00134634","LEINSTRAND, NO","2017-12-26",,
"NOE00134634","LEINSTRAND, NO","2017-12-27",,
"NOE00134634","LEINSTRAND, NO","2017-12-28",,
"NOE00134634","LEINSTRAND, NO","2017-12-29",,
"NOE00134634","LEINSTRAND, NO","2017-12-30",,
"NOE00134634","LEINSTRAND, NO","2017-12-31",,
"NOE00134634","LEINSTRAND, NO","2018-01-01",,
"NOE00134634","LEINSTRAND, NO","2018-01-02",,
"NOE00134634","LEINSTRAND, NO","2018-01-03",,
"NOE00134634","LEINSTRAND, NO","2018-01-04",,
"NOE00134634","LEINSTRAND, NO","2018-01-05",,
"NOE00134634","LEINSTRAND, NO","2018-01-06",,
"NOE00134634","LEINSTRAND, NO","2018-01-07",,
"NOE00134634","LEINSTRAND, NO","2018-01-08",,
"NOE00134634","LEINSTRAND, NO","2018-01-09",,
"NOE00134634","LEINSTRAND, NO","2018-01-10",,
"NOE00134634","LEINSTRAND, NO","2018-01-11",,
"NOE00134634","LEINSTRAND, NO","2018-01-12",,
"NOE00134634","LEINSTRAND, NO","2018-01-13",,
"NOE00134634","LEINSTRAND, NO","2018-01-14",,
"NOE00134634","LEINSTRAND, NO","2018-01-15",,
"NOE00134634","LEINSTRAND, NO","2018-01-16",,
"NOE00134634","LEINSTRAND, NO","2018-01-17",,
"NOE00134634","LEINSTRAND, NO","2018-01-18",,
"NOE00134634","LEINSTRAND, NO","2018-01-19",,
"NOE00134634","LEINSTRAND, NO","2018-01-20",,
"NOE00134634","LEINSTRAND, NO","2018-01-21",,
"NOE00134634","LEINSTRAND, NO","2018-01-22",,
"NOE00134634","LEINSTRAND, NO","2018-01-23",,
"NOE00134634","LEINSTRAND, NO","2018-01-24",,
"NOE00134634","LEINSTRAND, NO","2018-01-25",,
"NOE00134634","LEINSTRAND, NO","2018-01-26",,
"NOE00134634","LEINSTRAND, NO","2018-01-27",,
"NOE00134634","LEINSTRAND, NO","2018-01-28",,
"NOE00134634","LEINSTRAND, NO","2018-01-29",,
"NOE00134634","LEINSTRAND, NO","2018-01-30",,
"NOE00134634","LEINSTRAND, NO","2018-01-31",,
"NOE00134634","LEINSTRAND, NO","2018-02-01",,
"NOE00134634","LEINSTRAND, NO","2018-02-02",,
"NOE00134634","LEINSTRAND, NO","2018-02-03",,
"NOE00134634","LEINSTRAND, NO","2018-02-04",,
"NOE00134634","LEINSTRAND, NO","2018-02-05",,
"NOE00134634","LEINSTRAND, NO","2018-02-06",,
"NOE00134634","LEINSTRAND, NO","2018-02-07",,
"NOE00134634","LEINSTRAND, NO","2018-02-08",,
"NOE00134634","LEINSTRAND, NO","2018-02-09",,
"NOE00134634","LEINSTRAND, NO","2018-02-10",,
"NOE00134634","LEINSTRAND, NO","2018-02-11",,
"NOE00134634","LEINSTRAND, NO","2018-02-12",,
"NOE00134634","LEINSTRAND, NO","2018-02-13",,
"NOE00134634","LEINSTRAND, NO","2018-02-14",,
"NOE00134634","LEINSTRAND, NO","2018-02-15",,
"NOE00134634","LEINSTRAND, NO","2018-02-16",,
"NOE00134634","LEINSTRAND, NO","2018-02-17",,
"NOE00134634","LEINSTRAND, NO","2018-02-18",,
"NOE00134634","LEINSTRAND, NO","2018-02-19",,
"NOE00134634","LEINSTRAND, NO","2018-02-20",,
"NOE00134634","LEINSTRAND, NO","2018-02-21",,
"NOE00134634","LEINSTRAND, NO","2018-02-22",,
"NOE00134634","LEINSTRAND, NO","2018-02-23",,
"NOE00134634","LEINSTRAND, NO","2018-02-24",,
"NOE00134634","LEINSTRAND, NO","2018-02-25",,
"NOE00134634","LEINSTRAND, NO","2018-02-26",,
"NOE00134634","LEINSTRAND, NO","2018-02-27",,
"NOE00134634","LEINSTRAND, NO","2018-02-28",,
"NOE00134634","LEINSTRAND, NO","2018-03-01",,
"NOE00134634","LEINSTRAND, NO","2018-03-02",,
"NOE00134634","LEINSTRAND, NO","2018-03-03",,
"NOE00134634","LEINSTRAND, NO","2018-03-04",,
"NOE00134634","LEINSTRAND, NO","2018-03-05",,
"NOE00134634","LEINSTRAND, NO","2018-03-06",,
"NOE00134634","LEINSTRAND, NO","2018-03-07",,
"NOE00134634","LEINSTRAND, NO","2018-03-08",,
"NOE00134634","LEINSTRAND, NO","2018-03-09",,
"NOE00134634","LEINSTRAND, NO","2018-03-10",,
"NOE00134634","LEINSTRAND, NO","2018-03-11",,
"NOE00134634","LEINSTRAND, NO","2018-03-12",,
"NOE00134634","LEINSTRAND, NO","2018-03-13",,
